YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2013,2013,MS,Mississippi,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.2,4.2,,,3.8,4.6,Race/Ethnicity,"White, non-Hispanic",,,,,,28,MTH,MTH1_0,AGEADJMEAN,RACE,WHT,,,,
2017,2017,LA,Louisiana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,5.1,5.1,,,4.7,5.4,Overall,Overall,,,,,,22,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR,,,,
2017,2017,VA,Virginia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.8,3.8,,,3.6,4.1,Overall,Overall,,,,,,51,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR,,,,
2016,2016,PR,Puerto Rico,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,11.5,11.5,,,9.4,14.2,Overall,Overall,,,,,,72,MTH,MTH2_0,CRDPREV,OVERALL,OVR,,,,
2019,2019,ID,Idaho,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,2.9,2.9,,,1.4,4.4,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,16,MTH,MTH1_0,AGEADJMEAN,RACE,MRC,,,,
2017,2017,NC,North Carolina,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.6,4.6,,,4.1,5.1,Gender,Female,,,,,,37,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF,,,,
2012,2012,IL,Illinois,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,9.3,9.3,,,6.3,13.5,Race/Ethnicity,"White, non-Hispanic",,,,,,17,MTH,MTH2_0,CRDPREV,RACE,WHT,,,,
2016,2016,ME,Maine,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic",,,,,,23,MTH,MTH2_0,CRDPREV,RACE,OTH,,,,
2018,2018,CO,Colorado,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,14.7,14.7,,,12.9,16.7,Race/Ethnicity,"White, non-Hispanic",,,,,,8,MTH,MTH2_0,CRDPREV,RACE,WHT,,,,
2014,2014,OH,Ohio,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic",,,,,,39,MTH,MTH2_0,CRDPREV,RACE,OTH,,,,
2013,2013,TN,Tennessee,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,16.4,16.4,,,13.6,19.7,Overall,Overall,,,,,,47,MTH,MTH2_0,CRDPREV,OVERALL,OVR,,,,
2013,2013,AL,Alabama,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.5,4.5,,,4.2,4.8,Overall,Overall,,,,,,1,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR,,,,
2013,2013,NM,New Mexico,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,35,MTH,MTH2_0,CRDPREV,RACE,MRC,,,,
2015,2015,US,United States,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.1,3.1,*,50 States + DC: US Median,3,3.2,Gender,Male,,,,,,59,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2015,2015,MS,Mississippi,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,,,,,,28,MTH,MTH2_0,CRDPREV,RACE,HIS,,,,
2016,2016,NH,New Hampshire,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.2,4.2,,,2.3,6.1,Race/Ethnicity,Hispanic,,,,,,33,MTH,MTH1_0,AGEADJMEAN,RACE,HIS,,,,
2019,2019,CA,California,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.8,3.8,,,3.6,4,Overall,Overall,,,,,,6,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
2012,2012,DE,Delaware,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.7,3.7,,,3.3,4.1,Race/Ethnicity,"White, non-Hispanic",,,,,,10,MTH,MTH1_0,AGEADJMEAN,RACE,WHT,,,,
2019,2019,MO,Missouri,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,5.6,5.6,,,5.2,6.1,Gender,Female,,,,,,29,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF,,,,
2017,2017,OR,Oregon,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,5.5,5.5,,,5,5.9,Gender,Female,,,,,,41,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF,,,,
2014,2014,MS,Mississippi,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,28,MTH,MTH2_0,CRDPREV,RACE,MRC,,,,
2012,2012,IL,Illinois,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.2,4.2,,,3.1,5.2,Race/Ethnicity,"Black, non-Hispanic",,,,,,17,MTH,MTH1_0,AGEADJMEAN,RACE,BLK,,,,
2015,2015,MI,Michigan,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.2,3.2,,,2.9,3.5,Gender,Male,,,,,,26,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM,,,,
2016,2016,TX,Texas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.2,3.2,,,2.8,3.7,Race/Ethnicity,Hispanic,,,,,,48,MTH,MTH1_0,MEAN,RACE,HIS,,,,
2013,2013,ND,North Dakota,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,2.3,2.3,,,2,2.6,Gender,Male,,,,,,38,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM,,,,
2011,2011,NC,North Carolina,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,15.3,15.3,,,13,18,Overall,Overall,,,,,,37,MTH,MTH2_0,CRDPREV,OVERALL,OVR,,,,
2011,2011,CT,Connecticut,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.3,3.3,,,2.2,4.4,Race/Ethnicity,"Other, non-Hispanic",,,,,,9,MTH,MTH1_0,AGEADJMEAN,RACE,OTH,,,,
2014,2014,PA,Pennsylvania,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4,4,,,3.8,4.3,Overall,Overall,,,,,,42,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR,,,,
2018,2018,SC,South Carolina,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic",,,,,,45,MTH,MTH2_0,CRDPREV,RACE,OTH,,,,
2011,2011,VI,Virgin Islands,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,,,-,No data available,,,Overall,Overall,,,,,,78,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR,,,,
2019,2019,NJ,New Jersey,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,,,-,No data available,,,Race/Ethnicity,"Black, non-Hispanic",,,,,,34,MTH,MTH1_0,MEAN,RACE,BLK,,,,
2011,2011,VT,Vermont,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,,50,MTH,MTH1_0,AGEADJMEAN,RACE,BLK,,,,
2012,2012,KS,Kansas,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,20,MTH,MTH2_0,CRDPREV,RACE,MRC,,,,
2018,2018,NY,New York,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,6.2,6.2,,,4.9,7.5,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,36,MTH,MTH1_0,MEAN,RACE,MRC,,,,
2019,2019,VT,Vermont,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,19.8,19.8,,,16.7,23.3,Race/Ethnicity,"White, non-Hispanic",,,,,,50,MTH,MTH2_0,CRDPREV,RACE,WHT,,,,
2017,2017,NE,Nebraska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.5,3.5,,,3.3,3.7,Overall,Overall,,,,,,31,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR,,,,
2019,2019,MT,Montana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,,30,MTH,MTH1_0,AGEADJMEAN,RACE,BLK,,,,
2017,2017,NE,Nebraska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.7,3.7,,,2,5.4,Race/Ethnicity,"Other, non-Hispanic",,,,,,31,MTH,MTH1_0,AGEADJMEAN,RACE,OTH,,,,
2019,2019,WY,Wyoming,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,,56,MTH,MTH1_0,AGEADJMEAN,RACE,BLK,,,,
2015,2015,UT,Utah,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.3,4.3,,,4,4.5,Gender,Female,,,,,,49,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF,,,,
2017,2017,RI,Rhode Island,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,44,MTH,MTH2_0,CRDPREV,RACE,MRC,,,,
2019,2019,MA,Massachusetts,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,10.9,10.9,,,7.9,14.8,Race/Ethnicity,Hispanic,,,,,,25,MTH,MTH2_0,CRDPREV,RACE,HIS,,,,
2011,2011,WV,West Virginia,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,,,,,,54,MTH,MTH2_0,CRDPREV,RACE,HIS,,,,
2017,2017,MO,Missouri,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,7.5,7.5,,,5.2,9.9,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,29,MTH,MTH1_0,AGEADJMEAN,RACE,MRC,,,,
2012,2012,ME,Maine,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,15.9,15.9,,,13.6,18.6,Race/Ethnicity,"White, non-Hispanic",,,,,,23,MTH,MTH2_0,CRDPREV,RACE,WHT,,,,
2015,2015,OK,Oklahoma,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,40,MTH,MTH2_0,CRDPREV,RACE,MRC,,,,
2019,2019,DE,Delaware,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,5.5,5.5,,,4.8,6.1,Gender,Female,,,,,,10,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF,,,,
2016,2016,MD,Maryland,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.8,3.8,,,3.5,4.1,Race/Ethnicity,"White, non-Hispanic",,,,,,24,MTH,MTH1_0,AGEADJMEAN,RACE,WHT,,,,
2016,2016,CT,Connecticut,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.2,4.2,,,3.8,4.5,Gender,Female,,,,,,9,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF,,,,
2016,2016,SC,South Carolina,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,,,,,,45,MTH,MTH2_0,CRDPREV,RACE,HIS,,,,
2017,2017,KY,Kentucky,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.9,4.9,,,3.4,6.5,Race/Ethnicity,"Black, non-Hispanic",,,,,,21,MTH,MTH1_0,MEAN,RACE,BLK,,,,
2013,2013,IN,Indiana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.3,3.3,,,2.9,3.6,Gender,Male,,,,,,18,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM,,,,
2011,2011,WI,Wisconsin,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.1,3.1,,,2.8,3.4,Race/Ethnicity,"White, non-Hispanic",,,,,,55,MTH,MTH1_0,MEAN,RACE,WHT,,,,
2017,2017,AZ,Arizona,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4,4,,,3.8,4.2,Overall,Overall,,,,,,4,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR,,,,
2017,2017,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,,2,MTH,MTH1_0,MEAN,RACE,BLK,,,,
2015,2015,AZ,Arizona,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,10.3,10.3,,,6.9,15.1,Race/Ethnicity,Hispanic,,,,,,4,MTH,MTH2_0,CRDPREV,RACE,HIS,,,,
2018,2018,WI,Wisconsin,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.7,4.7,,,3.2,6.2,Race/Ethnicity,"Black, non-Hispanic",,,,,,55,MTH,MTH1_0,AGEADJMEAN,RACE,BLK,,,,
2018,2018,NC,North Carolina,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.7,4.7,,,4.2,5.1,Gender,Female,,,,,,37,MTH,MTH1_0,MEAN,GENDER,GENF,,,,
2012,2012,AZ,Arizona,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.7,3.7,,,3.2,4.1,Gender,Male,,,,,,4,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM,,,,
2015,2015,VA,Virginia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,2.7,2.7,,,2.4,3,Gender,Male,,,,,,51,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM,,,,
2014,2014,UT,Utah,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,6.1,6.1,,,4.3,7.9,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,49,MTH,MTH1_0,AGEADJMEAN,RACE,MRC,,,,
2017,2017,OH,Ohio,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,14,14,,,10.1,19.1,Race/Ethnicity,"Black, non-Hispanic",,,,,,39,MTH,MTH2_0,CRDPREV,RACE,BLK,,,,
2012,2012,DC,District of Columbia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,,,-,No data available,,,Race/Ethnicity,"White, non-Hispanic",,,,,,11,MTH,MTH1_0,MEAN,RACE,WHT,,,,
2011,2011,SD,South Dakota,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,46,MTH,MTH2_0,CRDPREV,RACE,MRC,,,,
2017,2017,MT,Montana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.4,3.4,,,3.1,3.7,Race/Ethnicity,"White, non-Hispanic",,,,,,30,MTH,MTH1_0,MEAN,RACE,WHT,,,,
2012,2012,DC,District of Columbia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,,,-,No data available,,,Race/Ethnicity,"Black, non-Hispanic",,,,,,11,MTH,MTH1_0,MEAN,RACE,BLK,,,,
2012,2012,OR,Oregon,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.8,3.8,,,3.3,4.3,Gender,Male,,,,,,41,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2018,2018,WI,Wisconsin,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4,4,,,3.7,4.4,Overall,Overall,,,,,,55,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR,,,,
2012,2012,VI,Virgin Islands,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,,,-,No data available,,,Race/Ethnicity,"White, non-Hispanic",,,,,,78,MTH,MTH1_0,AGEADJMEAN,RACE,WHT,,,,
2016,2016,MD,Maryland,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.4,3.4,,,2.7,4.2,Race/Ethnicity,Hispanic,,,,,,24,MTH,MTH1_0,AGEADJMEAN,RACE,HIS,,,,
2015,2015,LA,Louisiana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.9,4.9,,,4.4,5.3,Gender,Female,,,,,,22,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF,,,,
2013,2013,VA,Virginia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.2,3.2,,,2.6,3.7,Race/Ethnicity,"Black, non-Hispanic",,,,,,51,MTH,MTH1_0,MEAN,RACE,BLK,,,,
2013,2013,PA,Pennsylvania,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,27.6,27.6,,,18.6,39,Race/Ethnicity,Hispanic,,,,,,42,MTH,MTH2_0,CRDPREV,RACE,HIS,,,,
2011,2011,HI,Hawaii,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,,,,,,15,MTH,MTH2_0,CRDPREV,RACE,HIS,,,,
2012,2012,ND,North Dakota,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,,,-,No data available,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,38,MTH,MTH1_0,MEAN,RACE,MRC,,,,
2013,2013,AZ,Arizona,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.8,4.8,,,3.3,6.3,Race/Ethnicity,Hispanic,,,,,,4,MTH,MTH1_0,MEAN,RACE,HIS,,,,
2011,2011,HI,Hawaii,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.1,3.1,,,2.7,3.5,Gender,Female,,,,,,15,MTH,MTH1_0,MEAN,GENDER,GENF,,,,
2012,2012,OK,Oklahoma,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.2,4.2,,,3.9,4.5,Overall,Overall,,,,,,40,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR,,,,
2013,2013,US,United States,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.2,4.2,*,50 States + DC: US Median,4,4.3,Gender,Female,,,,,,59,MTH,MTH1_0,MEAN,GENDER,GENF,,,,
2016,2016,KY,Kentucky,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,19.7,19.7,,,13.4,28,Race/Ethnicity,"Black, non-Hispanic",,,,,,21,MTH,MTH2_0,CRDPREV,RACE,BLK,,,,
2017,2017,OK,Oklahoma,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.9,4.9,,,3.7,6.1,Race/Ethnicity,"Black, non-Hispanic",,,,,,40,MTH,MTH1_0,AGEADJMEAN,RACE,BLK,,,,
2019,2019,NV,Nevada,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.7,4.7,,,4.2,5.2,Overall,Overall,,,,,,32,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR,,,,
2015,2015,MT,Montana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.3,3.3,,,3,3.6,Race/Ethnicity,"White, non-Hispanic",,,,,,30,MTH,MTH1_0,MEAN,RACE,WHT,,,,
2018,2018,WY,Wyoming,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,,56,MTH,MTH1_0,MEAN,RACE,BLK,,,,
2016,2016,NV,Nevada,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.7,4.7,,,3,6.3,Race/Ethnicity,"Other, non-Hispanic",,,,,,32,MTH,MTH1_0,MEAN,RACE,OTH,,,,
2012,2012,OK,Oklahoma,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.2,4.2,,,3.9,4.5,Race/Ethnicity,"White, non-Hispanic",,,,,,40,MTH,MTH1_0,AGEADJMEAN,RACE,WHT,,,,
2018,2018,KS,Kansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.7,3.7,,,2.6,4.9,Race/Ethnicity,"Other, non-Hispanic",,,,,,20,MTH,MTH1_0,AGEADJMEAN,RACE,OTH,,,,
2019,2019,NV,Nevada,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,20.6,20.6,,,16,26,Overall,Overall,,,,,,32,MTH,MTH2_0,CRDPREV,OVERALL,OVR,,,,
2017,2017,MN,Minnesota,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,2.5,2.5,,,2.3,2.7,Gender,Male,,,,,,27,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM,,,,
2019,2019,OH,Ohio,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.8,3.8,,,2.3,5.3,Race/Ethnicity,"Other, non-Hispanic",,,,,,39,MTH,MTH1_0,AGEADJMEAN,RACE,OTH,,,,
2018,2018,AZ,Arizona,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,6.3,6.3,,,3.1,9.4,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,4,MTH,MTH1_0,MEAN,RACE,MRC,,,,
2018,2018,WY,Wyoming,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,,56,MTH,MTH2_0,CRDPREV,RACE,BLK,,,,
2013,2013,NY,New York,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,13.5,13.5,,,10.5,17.3,Race/Ethnicity,"White, non-Hispanic",,,,,,36,MTH,MTH2_0,CRDPREV,RACE,WHT,,,,
2016,2016,AR,Arkansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.4,4.4,,,3.7,5.1,Gender,Male,,,,,,5,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2017,2017,CO,Colorado,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.6,3.6,,,2.6,4.7,Race/Ethnicity,"Other, non-Hispanic",,,,,,8,MTH,MTH1_0,MEAN,RACE,OTH,,,,
2013,2013,NJ,New Jersey,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.7,3.7,,,3.2,4.2,Race/Ethnicity,Hispanic,,,,,,34,MTH,MTH1_0,AGEADJMEAN,RACE,HIS,,,,
2017,2017,GU,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.8,3.8,,,3.3,4.4,Overall,Overall,,,,,,66,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR,,,,
